|name   |alt_name |ra         |dec        |vmag |bv_color|hr  |parallax|ub_color|
|HR 7228|Sig Oct  |21 08 46.20|-88 57 23.0| 5.47|0.27    |7228|        |0.13    |
|HR 8294|         |22 45 28.61|-88 49 05.9| 6.57|0.28    |8294|        |0.13    |
|HR 5491|         |15 28 19.10|-88 07 59.2| 6.48|0.30    |5491|        |0.10    |
|HR 6721|Chi Oct  |18 54 46.90|-87 36 20.9| 5.28|1.28    |6721|        |1.60    |
|HR 6133|         |17 15 59.30|-87 33 59.0| 6.57|0.91    |6133|        |0.56    |
|HR 8862|Tau Oct  |23 28 03.70|-87 28 55.9| 5.49|1.27    |8862|        |1.43    |
|HR 2848|         |06 46 58.70|-87 01 30.0| 6.47|0.42    |2848|        |-0.07   |
|HR 6139|         |17 00 58.49|-86 21 51.8| 6.04|0.05    |6139|        |0.02    |
|HR 4709|         |12 25 37.49|-86 09 02.2| 6.33|1.08    |4709|        |0.89    |
|HR 8505|Ups Oct  |22 31 37.39|-85 58 01.9| 5.77|1.02    |8505|        |0.88    |
|HR 5084|Kap Oct  |13 40 55.49|-85 47 10.0| 5.58|0.18    |5084|        |0.16    |
|HR 3678|Zet Oct  |08 56 41.09|-85 39 47.2| 5.42|0.31    |3678|        |0.07    |
|HR 4595|         |12 02 20.11|-85 37 54.1| 6.05|1.29    |4595|        |1.54    |
|HR 1271|         |03 42 32.11|-85 15 43.9| 6.41|-0.01   |1271|0.008   |-0.10   |
|HR 6552|         |18 01 34.10|-85 12 52.9| 6.45|0.44    |6552|        |0.02    |
|HR 4870|Iot Oct  |12 54 58.61|-85 07 23.9| 5.46|1.02    |4870|        |0.79    |
|HR 47  |         |00 13 19.39|-84 59 39.1| 5.77|1.72    |  47|        |2.10    |
|HR 8129|         |21 32 04.20|-84 48 36.0| 6.45|1.40    |8129|        |1.66    |
|HR 5557|Ome Oct  |15 11 08.30|-84 47 15.0| 5.91|-0.06   |5557|        |-0.13   |
|HR 2059|         |05 30 13.90|-84 47 06.0| 6.20|-0.02   |2059|        |-0.11   |
|HR 525 |         |01 37 28.01|-84 46 10.9| 5.69|0.94    | 525|        |0.66    |
|HR 4312|Eta Oct  |10 59 13.80|-84 35 38.0| 6.19|0.11    |4312|        |0.12    |
|HR 5729|Rho Oct  |15 43 16.80|-84 27 55.1| 5.57|0.11    |5729|        |0.08    |
|HR 5339|Del Oct  |14 26 54.89|-83 40 04.1| 4.32|1.31    |5339|        |1.45    |
